date_time,temp,B1F,Heat1F,Heat2F,Heat3F,Heat4F,Heat5F,Heat6F,Heat7F,Heat8F,Heatsum
2022/6/18 0:00,23.8,0,0,0,0,0,0,0,0,0,0
2022/6/18 1:00,23.8,0,0,0,0,0,0,0,0,0,0
2022/6/18 2:00,24.1,0,0,0,0,0,0,0,0,0,0
2022/6/18 3:00,24.1,0,0,0,0,0,0,0,0,0,0
2022/6/18 4:00,23.9,0,0,0,0,0,0,0,0,0,0
2022/6/18 5:00,23.5,0,0,0,0,0,0,0,0,0,0
2022/6/18 6:00,23.9,0,0,0,0,0,0,0,0,0,0
2022/6/18 7:00,24.9,0,0,0,0,0,0,0,0,0,0
2022/6/18 8:00,25.3,0,0,0,0,0,0,0,0,0,0
2022/6/18 9:00,27,0,0.019,0.05,0.111,0.039,0.085,0.124,0.213,0.073,0.764
2022/6/18 10:00,27.9,0,0,0.047,0.036,0.028,0.052,0.084,0.129,0.04,0.448
2022/6/18 11:00,29.1,0,0.001,0.063,0.059,0,0.056,0.119,0.172,0.057,0.579
2022/6/18 12:00,28.6,0,0,0.068,0.054,0,0.067,0.117,0.15,0.038,0.542
2022/6/18 13:00,29.4,0,0,0.038,0.016,0,0.033,0.075,0.092,0.021,0.302
2022/6/18 14:00,30,0,0.006,0.067,0.038,0,0.054,0.111,0.16,0.048,0.543
2022/6/18 15:00,29.2,0,0,0.064,0.025,0,0.027,0.089,0.117,0.045,0.401
2022/6/18 16:00,28.8,0,0.007,0.064,0.027,0,0.044,0.109,0.133,0.067,0.5
2022/6/18 17:00,26.9,0,0,0.091,0.029,0,0.019,0.11,0.143,0.046,0.507
2022/6/18 18:00,27,0,0,0.011,0.001,0,0,0.018,0.026,0.005,0.06
2022/6/18 19:00,26.1,0,0,0,0,0,0,0,0,0,0
2022/6/18 20:00,25.8,0,0,0,0,0,0,0,0,0,0
2022/6/18 21:00,25.5,0,0,0,0,0,0,0,0,0,0
2022/6/18 22:00,25,0,0,0,0,0,0,0,0,0,0
2022/6/18 23:00,24.9,0,0,0,0,0,0,0,0,0,0
2022/6/19 0:00,25.1,0,0,0,0,0,0,0,0,0,0
2022/6/19 1:00,25,0,0,0,0,0,0,0,0,0,0
2022/6/19 2:00,24.7,0,0,0,0,0,0,0,0,0,0
2022/6/19 3:00,24.6,0,0,0,0,0,0,0,0,0,0
2022/6/19 4:00,23.9,0,0,0,0,0,0,0,0,0,0
2022/6/19 5:00,23.9,0,0,0,0,0,0,0,0,0,0
2022/6/19 6:00,24.1,0,0,0,0,0,0,0,0,0,0
2022/6/19 7:00,25,0,0,0,0,0,0,0,0,0,0
2022/6/19 8:00,26.1,0,0.007,0.006,0.105,0.059,0.026,0.075,0.103,0.052,0.459
2022/6/19 9:00,27.1,0,0.015,0,0.222,0.031,0.052,0.117,0.194,0.046,0.666
2022/6/19 10:00,28.9,0,0,0,0.188,0.038,0.026,0.092,0.141,0.031,0.495
2022/6/19 11:00,29.4,0,0,0,0.193,0.043,0.026,0.091,0.131,0.028,0.493
2022/6/19 12:00,30,0,0,0,0.2,0.047,0.032,0.085,0.128,0.026,0.502
2022/6/19 13:00,28.9,0,0,0,0.219,0.034,0.028,0.096,0.129,0.023,0.523
2022/6/19 14:00,27.7,0,0,0,0.201,0.061,0.03,0.103,0.116,0.022,0.512
2022/6/19 15:00,27.1,0,0,0,0.217,0.058,0.029,0.104,0.119,0.029,0.542
2022/6/19 16:00,27.5,0,0,0,0.022,0.005,0.001,0.007,0.01,0.002,0.033
2022/6/19 17:00,26,0,0,0,0,0,0,0,0,0,0
2022/6/19 18:00,25.8,0,0,0,0,0,0,0,0,0,0
2022/6/19 19:00,25.5,0,0,0,0,0,0,0,0,0,0
2022/6/19 20:00,24.9,0,0,0,0,0,0,0,0,0,0
2022/6/19 21:00,24.8,0,0,0,0,0,0,0,0,0,0
2022/6/19 22:00,24.8,0,0,0,0,0,0,0,0,0,0
2022/6/19 23:00,25.5,0,0,0,0,0,0,0,0,0,0
2022/6/20 0:00,24.9,0,0,0,0,0,0,0,0,0,0
2022/6/20 1:00,24.8,0,0,0,0,0,0,0,0,0,0
2022/6/20 2:00,24.6,0,0,0,0,0,0,0,0,0,0
2022/6/20 3:00,24.4,0,0,0,0,0,0,0,0,0,0
2022/6/20 4:00,24.2,0,0,0,0,0,0,0,0,0,0
2022/6/20 5:00,24.3,0,0,0,0,0,0,0,0,0,0
2022/6/20 6:00,24.5,0,0,0,0,0,0,0,0,0,0
2022/6/20 7:00,24.7,0,0,0,0,0,0,0,0,0,0
2022/6/20 8:00,25.2,0,0.072,0,0.041,0.006,0.01,0.022,0.042,0.018,0.203
2022/6/20 9:00,26.2,0,0.356,0.18,0.409,0.095,0.141,0.139,0.222,0.106,1.692
2022/6/20 10:00,26.8,0,0.338,0.208,0.355,0.227,0.202,0.141,0.223,0.157,1.858
2022/6/20 11:00,26.9,0,0.336,0.213,0.323,0.193,0.277,0.123,0.244,0.172,1.875
2022/6/20 12:00,28,0,0.338,0.189,0.333,0.166,0.306,0.123,0.228,0.151,1.832
2022/6/20 13:00,27.6,0,0.375,0.208,0.288,0.146,0.302,0.119,0.245,0.17,1.863
2022/6/20 14:00,26.9,0,0.363,0.227,0.287,0.192,0.306,0.147,0.226,0.168,1.921
2022/6/20 15:00,26.5,0,0.287,0.213,0.222,0.134,0.277,0.122,0.186,0.13,1.56
2022/6/20 16:00,26.6,0,0.13,0.13,0.125,0.131,0.184,0.07,0.126,0.073,0.96
2022/6/20 17:00,26.4,0,0.096,0.202,0.19,0.149,0.29,0.109,0.246,0.162,1.498
2022/6/20 18:00,26.4,0,0.037,0.155,0.146,0.083,0.136,0.086,0.158,0.097,0.918
2022/6/20 19:00,25.5,0,0.026,0.149,0.117,0.009,0.022,0.072,0.147,0.093,0.704
2022/6/20 20:00,25.8,0,0.003,0.06,0.044,0.008,0.012,0.032,0.04,0.032,0.249
2022/6/20 21:00,26,0,0,0,0,0,0,0,0,0,0
2022/6/20 22:00,25.8,0,0,0,0,0,0,0,0,0,0
2022/6/20 23:00,25.7,0,0,0,0,0,0,0,0,0,0
2022/6/21 0:00,25.8,0,0,0,0,0,0,0,0,0,0
2022/6/21 1:00,24.6,0,0,0,0,0,0,0,0,0,0
2022/6/21 2:00,23.9,0,0,0,0,0,0,0,0,0,0
2022/6/21 3:00,23.5,0,0,0,0,0,0,0,0,0,0
2022/6/21 4:00,23.5,0,0,0,0,0,0,0,0,0,0
2022/6/21 5:00,23.1,0,0,0,0,0,0,0,0,0,0
2022/6/21 6:00,22.8,0,0,0,0,0,0,0,0,0,0
2022/6/21 7:00,22.8,0,0,0,0,0,0,0,0,0,0
2022/6/21 8:00,23.3,0,0.016,0,0.005,0,0.001,0.005,0.01,0.007,0.049
2022/6/21 9:00,24.5,0,0.383,0.175,0.384,0.069,0.125,0.12,0.207,0.106,1.625
2022/6/21 10:00,25.4,0,0.403,0.224,0.39,0.116,0.166,0.114,0.203,0.145,1.802
2022/6/21 11:00,28,0,0.385,0.213,0.338,0.165,0.29,0.125,0.227,0.24,1.973
2022/6/21 12:00,27.1,0,0.374,0.22,0.322,0.177,0.292,0.16,0.243,0.222,1.991
2022/6/21 13:00,28.7,0,0.38,0.218,0.302,0.226,0.339,0.136,0.268,0.23,2.076
2022/6/21 14:00,28.8,0,0.36,0.217,0.309,0.247,0.365,0.148,0.263,0.24,2.124
2022/6/21 15:00,25.9,0,0.363,0.219,0.311,0.226,0.363,0.161,0.244,0.243,2.114
2022/6/21 16:00,25.2,0,0.215,0.248,0.272,0.15,0.361,0.186,0.251,0.229,1.957
2022/6/21 17:00,24.8,0,0.051,0.163,0.121,0.05,0.234,0.082,0.123,0.164,0.985
2022/6/21 18:00,24.6,0,0.044,0.174,0.126,0.014,0.12,0.085,0.142,0.131,0.907
2022/6/21 19:00,24.8,0,0.029,0.166,0.043,0.018,0.043,0.091,0.108,0.1,0.686
2022/6/21 20:00,24.7,0,0.011,0.049,0.006,0.002,0.011,0.03,0.044,0.039,0.218
2022/6/21 21:00,25.1,0,0,0,0,0,0,0,0,0,0
2022/6/21 22:00,25.1,0,0,0,0,0,0,0,0,0,0
2022/6/21 23:00,24.7,0,0,0,0,0,0,0,0,0,0
2022/6/22 0:00,24.5,0,0,0,0,0,0,0,0,0,0
