SSDSE-A-2024,Prefecture,Municipality,A1101,A7101,A811102,A8201,A8301,A9101,A9201,F1102,F1107,F1108,F2201,F2211,F2221
,,年度,2020,2020,2020,2020,2020,2021,2021,2020,2020,2020,2020,2020,2020
地域コード,都道府県,市区町村,総人口,世帯数,65歳以上の世帯員のいる核家族世帯数,夫65歳以上、妻60歳以上の夫婦のみの世帯数,65歳以上世帯員の単独世帯数,婚姻件数,離婚件数,就業者数,完全失業者数,非労働力人口,第１次産業就業者数,第２次産業就業者数,第３次産業就業者数
R01100,北海道,札幌市,1973395,969161,195527,110890,121789,8496,3540,845953,41269,576925,3983,115924,697967
R01202,北海道,函館市,251084,121793,30158,16719,22337,907,408,109183,5592,86816,3202,17553,84172
R01203,北海道,小樽市,111299,52817,15757,8822,11095,277,128,44785,2850,46101,619,7572,35719
R01204,北海道,旭川市,329306,156195,39798,24072,24821,1215,551,146321,6921,118878,3761,24253,114977
R01205,北海道,室蘭市,82383,41766,10730,6481,7410,288,135,34733,1661,33134,324,9155,24690
R01206,北海道,釧路市,165077,80349,19578,11513,13290,602,288,69198,2878,56593,1511,12561,53046
R01207,北海道,帯広市,166536,80175,17351,10492,11065,753,308,74554,2668,44613,3616,12675,54217
R01208,北海道,北見市,115480,55188,13824,8404,7846,415,204,49777,1832,35130,3219,8212,36556
R01209,北海道,夕張市,7334,3807,1216,735,1095,5,4,3085,242,3455,518,678,1880
R01210,北海道,岩見沢市,79306,35584,10037,5774,6056,209,92,34045,1636,29663,2695,6014,24329
R01211,北海道,網走市,35759,17253,,2386,2383,128,56,16723,578,12233,2195,2555,11448
R01212,北海道,留萌市,20114,9816,,1559,1708,54,38,9601,453,7079,315,1896,7344
R01213,北海道,苫小牧市,170113,80130,,11128,11075,756,353,76046,2924,50281,1457,19227,52507
R01214,北海道,稚内市,33563,16060,,2303,2454,117,67,16459,831,10760,1407,3525,11265
R01215,北海道,美唄市,20413,9434,,1665,2122,65,32,9257,358,8632,1204,1927,5948
R01216,北海道,芦別市,12555,6055,,1258,1439,29,9,5308,313,5682,547,1443,3292
R01217,北海道,江別市,121056,53977,,8373,6686,286,177,53400,2506,42623,1480,9256,40708
R01218,北海道,赤平市,9698,4494,,860,1131,18,6,4045,215,4683,182,1066,2784
R01219,北海道,紋別市,21215,11214,,1722,2209,82,37,9688,381,6990,949,2392,6288
R01220,北海道,士別市,17858,8184,,1638,1467,49,24,8810,225,6195,1481,1525,5454
R01221,北海道,名寄市,27282,12810,,1917,1822,93,36,13689,290,8871,1367,1519,10479
R01222,北海道,三笠市,8040,3816,,648,1037,21,18,3147,258,3875,233,658,2238
R01223,北海道,根室市,24636,11153,,1634,1757,89,26,12722,351,7879,2438,2600,7261
R01224,北海道,千歳市,97950,43809,,4970,4583,516,194,47913,1819,26916,1606,8585,36424
R01225,北海道,滝川市,39490,18688,,2961,3114,168,61,18184,618,13077,823,3119,13571
R01226,北海道,砂川市,16486,7599,,1359,1311,52,26,7444,391,6676,377,1746,5289
R01227,北海道,歌志内市,2989,1424,,282,376,1,1,1150,70,1624,21,292,834
R01228,北海道,深川市,20039,9198,,1814,1574,46,13,9324,266,8161,1539,1154,6388
R01229,北海道,富良野市,21131,9538,,1480,1306,74,16,10779,311,6904,2188,1201,7250
R01230,北海道,登別市,46391,20928,,3906,3433,144,86,20102,892,18341,256,4946,14750
R01231,北海道,恵庭市,70331,30276,,4260,3359,235,119,32273,1562,23761,1277,6715,23833
R01233,北海道,伊達市,32826,14844,,2731,2569,107,42,14832,545,12352,1401,2483,10496
R01234,北海道,北広島市,58171,24640,,4608,3198,118,101,25226,1148,21015,536,4296,19696
R01235,北海道,石狩市,56869,23102,,4217,3010,141,98,23568,996,18287,978,5577,16052
R01236,北海道,北斗市,44302,18337,,2534,2499,126,101,20738,1183,14869,1637,4707,14317
R01303,北海道,当別町,15916,7281,2113,1230,898,34,19,7619,305,5885,1082,1300,4932
R01304,北海道,新篠津村,3044,1051,320,193,139,9,4,1483,32,1045,612,92,660
R01331,北海道,松前町,6260,3196,1083,691,848,6,8,2653,131,3063,268,731,1647
R01332,北海道,福島町,3794,1861,655,385,427,10,6,1639,111,1745,241,590,785
R01333,北海道,知内町,4167,1868,579,338,316,13,7,2110,75,1461,560,559,964
R01334,北海道,木古内町,3832,1871,637,381,465,7,1,1618,75,1745,167,392,1044
R01337,北海道,七飯町,27686,11568,3403,1924,1731,64,49,11853,1202,10894,1123,2296,8266
R01343,北海道,鹿部町,3760,1619,528,342,248,5,7,1824,68,1525,605,466,751
R01345,北海道,森町,14338,6330,1790,974,1115,32,28,7134,411,5357,1572,2120,3421
R01346,北海道,八雲町,15826,7519,1856,1030,1215,42,20,8230,298,5056,1564,1749,4576
R01347,北海道,長万部町,5109,2717,725,435,535,9,9,2662,71,1848,512,697,1436
R01361,北海道,江差町,7428,3542,932,578,653,23,11,3571,148,2848,297,613,2584
R01362,北海道,上ノ国町,4306,2053,617,373,479,8,6,1982,100,1825,335,554,1081
R01363,北海道,厚沢部町,3592,1654,551,329,277,6,1,1889,73,1290,611,321,957
R01364,北海道,乙部町,3403,1597,544,358,381,6,5,1559,48,1507,161,457,940
R01367,北海道,奥尻町,2410,1215,332,222,263,6,5,1268,34,945,135,161,970
R01370,北海道,今金町,5072,2192,657,414,400,14,6,2517,64,1892,706,341,1464
R01371,北海道,せたな町,7398,3534,1128,727,772,19,7,3676,127,2982,927,545,2202
R01391,北海道,島牧村,1356,617,175,100,146,6,1,659,16,569,141,84,431
R01392,北海道,寿都町,2838,1340,348,217,297,10,3,1376,38,1148,143,315,908
R01393,北海道,黒松内町,2791,1298,304,202,268,11,1,1315,42,1123,165,207,897
R01394,北海道,蘭越町,4568,2081,652,411,334,5,5,2386,57,1465,567,335,1330
R01395,北海道,ニセコ町,5074,2515,466,266,281,16,7,2623,132,1272,433,383,1772
R01396,北海道,真狩村,2045,903,230,142,130,11,3,1146,34,622,446,87,603
R01397,北海道,留寿都村,1911,959,161,98,87,6,3,1241,16,418,354,93,794
R01398,北海道,喜茂別町,2156,1130,271,168,160,9,4,1081,19,734,245,135,700
R01399,北海道,京極町,2941,1269,352,208,169,11,4,1526,39,914,278,307,841
R01400,北海道,倶知安町,15129,7631,1359,805,813,87,25,8009,272,3747,673,918,6246
R01401,北海道,共和町,5772,2728,654,386,357,30,3,3216,74,1691,788,663,1740
R01402,北海道,岩内町,11648,5750,1479,883,1239,38,21,5633,243,4358,180,1755,3672
R01403,北海道,泊村,1569,813,172,94,184,8,6,790,19,612,68,118,600
R01404,北海道,神恵内村,870,401,109,68,108,1,0,391,15,399,54,46,289
R01405,北海道,積丹町,1831,883,303,156,221,6,1,941,30,698,264,115,535
R01406,北海道,古平町,2745,1282,401,209,299,9,2,1320,31,1094,192,355,766
