,℃,GJ,GJ
時刻,気温,1系統冷水熱量,2系統冷水熱量
2022/6/18 0:00,23.800 ,0.000 ,0.000 
2022/6/18 1:00,23.800 ,0.000 ,0.000 
2022/6/18 2:00,24.100 ,0.000 ,0.000 
2022/6/18 3:00,24.100 ,0.000 ,0.000 
2022/6/18 4:00,23.900 ,0.000 ,0.000 
2022/6/18 5:00,23.500 ,0.000 ,0.000 
2022/6/18 6:00,23.900 ,0.000 ,0.000 
2022/6/18 7:00,24.900 ,0.000 ,0.000 
2022/6/18 8:00,25.300 ,0.000 ,0.000 
2022/6/18 9:00,27.000 ,0.019 ,0.050 
2022/6/18 10:00,27.900 ,0.000 ,0.047 
2022/6/18 11:00,29.100 ,0.001 ,0.063 
2022/6/18 12:00,28.600 ,0.000 ,0.068 
2022/6/18 13:00,29.400 ,0.000 ,0.038 
2022/6/18 14:00,30.000 ,0.006 ,0.067 
2022/6/18 15:00,29.200 ,0.000 ,0.064 
2022/6/18 16:00,28.800 ,0.007 ,0.064 
2022/6/18 17:00,26.900 ,0.000 ,0.091 
2022/6/18 18:00,27.000 ,0.000 ,0.011 
2022/6/18 19:00,26.100 ,0.000 ,0.000 
2022/6/18 20:00,25.800 ,0.000 ,0.000 
2022/6/18 21:00,25.500 ,0.000 ,0.000 
2022/6/18 22:00,25.000 ,0.000 ,0.000 
2022/6/18 23:00,24.900 ,0.000 ,0.000 
2022/6/19 0:00,25.100 ,0.000 ,0.000 
2022/6/19 1:00,25.000 ,0.000 ,0.000 
2022/6/19 2:00,24.700 ,0.000 ,0.000 
2022/6/19 3:00,24.600 ,0.000 ,0.000 
2022/6/19 4:00,23.900 ,0.000 ,0.000 
2022/6/19 5:00,23.900 ,0.000 ,0.000 
2022/6/19 6:00,24.100 ,0.000 ,0.000 
2022/6/19 7:00,25.000 ,0.000 ,0.000 
2022/6/19 8:00,26.100 ,0.007 ,0.006 
2022/6/19 9:00,27.100 ,0.015 ,0.000 
2022/6/19 10:00,28.900 ,0.000 ,0.000 
2022/6/19 11:00,29.400 ,0.000 ,0.000 
2022/6/19 12:00,30.000 ,0.000 ,0.000 
2022/6/19 13:00,28.900 ,0.000 ,0.000 
2022/6/19 14:00,27.700 ,0.000 ,0.000 
2022/6/19 15:00,27.100 ,0.000 ,0.000 
2022/6/19 16:00,27.500 ,0.000 ,0.000 
2022/6/19 17:00,26.000 ,0.000 ,0.000 
2022/6/19 18:00,25.800 ,0.000 ,0.000 
2022/6/19 19:00,25.500 ,0.000 ,0.000 
2022/6/19 20:00,24.900 ,0.000 ,0.000 
2022/6/19 21:00,24.800 ,0.000 ,0.000 
2022/6/19 22:00,24.800 ,0.000 ,0.000 
2022/6/19 23:00,25.500 ,0.000 ,0.000 
2022/6/20 0:00,24.900 ,0.000 ,0.000 
2022/6/20 1:00,24.800 ,0.000 ,0.000 
2022/6/20 2:00,24.600 ,0.000 ,0.000 
2022/6/20 3:00,24.400 ,0.000 ,0.000 
2022/6/20 4:00,24.200 ,0.000 ,0.000 
2022/6/20 5:00,24.300 ,0.000 ,0.000 
2022/6/20 6:00,24.500 ,0.000 ,0.000 
2022/6/20 7:00,24.700 ,0.000 ,0.000 
2022/6/20 8:00,25.200 ,0.072 ,0.000 
2022/6/20 9:00,26.200 ,0.356 ,0.180 
2022/6/20 10:00,26.800 ,0.338 ,0.208 
2022/6/20 11:00,26.900 ,0.336 ,0.213 
2022/6/20 12:00,28.000 ,0.338 ,0.189 
2022/6/20 13:00,27.600 ,0.375 ,0.208 
2022/6/20 14:00,26.900 ,0.363 ,0.227 
2022/6/20 15:00,26.500 ,0.287 ,0.213 
2022/6/20 16:00,26.600 ,0.130 ,0.130 
2022/6/20 17:00,26.400 ,0.096 ,0.202 
2022/6/20 18:00,26.400 ,0.037 ,0.155 
2022/6/20 19:00,25.500 ,0.026 ,0.149 
2022/6/20 20:00,25.800 ,0.003 ,0.060 
2022/6/20 21:00,26.000 ,0.000 ,0.000 
2022/6/20 22:00,25.800 ,0.000 ,0.000 
2022/6/20 23:00,25.700 ,0.000 ,0.000 
2022/6/21 0:00,25.800 ,0.000 ,0.000 
2022/6/21 1:00,24.600 ,0.000 ,0.000 
2022/6/21 2:00,23.900 ,0.000 ,0.000 
2022/6/21 3:00,23.500 ,0.000 ,0.000 
2022/6/21 4:00,23.500 ,0.000 ,0.000 
2022/6/21 5:00,23.100 ,0.000 ,0.000 
2022/6/21 6:00,22.800 ,0.000 ,0.000 
2022/6/21 7:00,22.800 ,0.000 ,0.000 
2022/6/21 8:00,23.300 ,0.016 ,0.000 
2022/6/21 9:00,24.500 ,0.383 ,0.175 
2022/6/21 10:00,25.400 ,0.403 ,0.224 
2022/6/21 11:00,28.000 ,0.385 ,0.213 
2022/6/21 12:00,27.100 ,0.374 ,0.220 
2022/6/21 13:00,28.700 ,0.380 ,0.218 
2022/6/21 14:00,28.800 ,0.360 ,0.217 
2022/6/21 15:00,25.900 ,0.363 ,0.219 
2022/6/21 16:00,25.200 ,0.215 ,0.248 
2022/6/21 17:00,24.800 ,0.051 ,0.163 
2022/6/21 18:00,24.600 ,0.044 ,0.174 
2022/6/21 19:00,24.800 ,0.029 ,0.166 
2022/6/21 20:00,24.700 ,0.011 ,0.049 
2022/6/21 21:00,25.100 ,0.000 ,0.000 
2022/6/21 22:00,25.100 ,0.000 ,0.000 
2022/6/21 23:00,24.700 ,0.000 ,0.000 
2022/6/22 0:00,24.500 ,0.000 ,0.000 
2022/6/22 1:00,24.700 ,0.000 ,0.000 
2022/6/22 2:00,24.700 ,0.000 ,0.000 
2022/6/22 3:00,24.600 ,0.000 ,0.000 
2022/6/22 4:00,23.700 ,0.000 ,0.000 
2022/6/22 5:00,24.000 ,0.000 ,0.000 
2022/6/22 6:00,23.800 ,0.000 ,0.000 
2022/6/22 7:00,24.300 ,0.000 ,0.000 
2022/6/22 8:00,25.400 ,0.123 ,0.002 
2022/6/22 9:00,25.900 ,0.344 ,0.161 
2022/6/22 10:00,26.400 ,0.358 ,0.191 
2022/6/22 11:00,26.400 ,0.370 ,0.189 
2022/6/22 12:00,27.100 ,0.340 ,0.197 
2022/6/22 13:00,26.900 ,0.408 ,0.206 
2022/6/22 14:00,28.900 ,0.412 ,0.216 
2022/6/22 15:00,26.700 ,0.396 ,0.220 
2022/6/22 16:00,26.600 ,0.371 ,0.217 
2022/6/22 17:00,26.900 ,0.112 ,0.140 
2022/6/22 18:00,27.600 ,0.043 ,0.144 
2022/6/22 19:00,27.500 ,0.029 ,0.122 
2022/6/22 20:00,26.700 ,0.000 ,0.042 
2022/6/22 21:00,26.700 ,0.000 ,0.000 
2022/6/22 22:00,26.400 ,0.000 ,0.000 
2022/6/22 23:00,26.400 ,0.000 ,0.000 
2022/6/23 0:00,26.600 ,0.000 ,0.000 
2022/6/23 1:00,27.500 ,0.000 ,0.000 
2022/6/23 2:00,27.100 ,0.000 ,0.000 
2022/6/23 3:00,27.300 ,0.000 ,0.000 
2022/6/23 4:00,26.600 ,0.000 ,0.000 
2022/6/23 5:00,27.200 ,0.000 ,0.000 
2022/6/23 6:00,28.200 ,0.000 ,0.000 
2022/6/23 7:00,28.400 ,0.000 ,0.000 
2022/6/23 8:00,29.100 ,0.107 ,0.001 
2022/6/23 9:00,29.500 ,0.382 ,0.152 
2022/6/23 10:00,30.600 ,0.367 ,0.203 
2022/6/23 11:00,31.200 ,0.382 ,0.207 
2022/6/23 12:00,31.700 ,0.388 ,0.207 
2022/6/23 13:00,32.300 ,0.406 ,0.202 
2022/6/23 14:00,31.700 ,0.391 ,0.197 
2022/6/23 15:00,32.100 ,0.377 ,0.200 
