時刻,気温,1系統冷水熱量,2系統冷水熱量
2022-06-18 00:00:00,23.8,0.0,0.0
2022-06-18 00:10:00,23.8,0.0,0.0
2022-06-18 00:20:00,23.8,0.0,0.0
2022-06-18 00:30:00,23.8,0.0,0.0
2022-06-18 00:40:00,23.8,0.0,0.0
2022-06-18 00:50:00,23.8,0.0,0.0
2022-06-18 01:00:00,23.8,0.0,0.0
2022-06-18 01:10:00,23.85,0.0,0.0
2022-06-18 01:20:00,23.900000000000002,0.0,0.0
2022-06-18 01:30:00,23.950000000000003,0.0,0.0
2022-06-18 01:40:00,24.0,0.0,0.0
2022-06-18 01:50:00,24.05,0.0,0.0
2022-06-18 02:00:00,24.1,0.0,0.0
2022-06-18 02:10:00,24.1,0.0,0.0
2022-06-18 02:20:00,24.1,0.0,0.0
2022-06-18 02:30:00,24.1,0.0,0.0
2022-06-18 02:40:00,24.1,0.0,0.0
2022-06-18 02:50:00,24.1,0.0,0.0
2022-06-18 03:00:00,24.1,0.0,0.0
2022-06-18 03:10:00,24.066666666666666,0.0,0.0
2022-06-18 03:20:00,24.033333333333335,0.0,0.0
2022-06-18 03:30:00,24.0,0.0,0.0
2022-06-18 03:40:00,23.966666666666665,0.0,0.0
2022-06-18 03:50:00,23.933333333333334,0.0,0.0
2022-06-18 04:00:00,23.9,0.0,0.0
2022-06-18 04:10:00,23.833333333333332,0.0,0.0
2022-06-18 04:20:00,23.766666666666666,0.0,0.0
2022-06-18 04:30:00,23.7,0.0,0.0
2022-06-18 04:40:00,23.633333333333333,0.0,0.0
2022-06-18 04:50:00,23.566666666666666,0.0,0.0
2022-06-18 05:00:00,23.5,0.0,0.0
2022-06-18 05:10:00,23.566666666666666,0.0,0.0
2022-06-18 05:20:00,23.633333333333333,0.0,0.0
2022-06-18 05:30:00,23.7,0.0,0.0
2022-06-18 05:40:00,23.766666666666666,0.0,0.0
2022-06-18 05:50:00,23.833333333333332,0.0,0.0
2022-06-18 06:00:00,23.9,0.0,0.0
2022-06-18 06:10:00,24.066666666666666,0.0,0.0
2022-06-18 06:20:00,24.23333333333333,0.0,0.0
2022-06-18 06:30:00,24.4,0.0,0.0
2022-06-18 06:40:00,24.566666666666666,0.0,0.0
2022-06-18 06:50:00,24.73333333333333,0.0,0.0
2022-06-18 07:00:00,24.9,0.0,0.0
2022-06-18 07:10:00,24.966666666666665,0.0,0.0
2022-06-18 07:20:00,25.03333333333333,0.0,0.0
2022-06-18 07:30:00,25.1,0.0,0.0
2022-06-18 07:40:00,25.166666666666668,0.0,0.0
2022-06-18 07:50:00,25.233333333333334,0.0,0.0
2022-06-18 08:00:00,25.3,0.0,0.0
2022-06-18 08:10:00,25.583333333333336,0.0031666666666666666,0.008333333333333333
2022-06-18 08:20:00,25.866666666666667,0.006333333333333333,0.016666666666666666
2022-06-18 08:30:00,26.15,0.0095,0.025
2022-06-18 08:40:00,26.433333333333334,0.012666666666666666,0.03333333333333333
2022-06-18 08:50:00,26.71666666666667,0.01583333333333333,0.041666666666666664
2022-06-18 09:00:00,27.0,0.019,0.05
2022-06-18 09:10:00,27.15,0.01583333333333333,0.0495
2022-06-18 09:20:00,27.3,0.012666666666666666,0.049
2022-06-18 09:30:00,27.45,0.0095,0.0485
2022-06-18 09:40:00,27.599999999999998,0.006333333333333333,0.048
2022-06-18 09:50:00,27.75,0.0031666666666666683,0.0475
2022-06-18 10:00:00,27.9,0.0,0.047
2022-06-18 10:10:00,28.099999999999998,0.00016666666666666666,0.049666666666666665
2022-06-18 10:20:00,28.3,0.0003333333333333333,0.052333333333333336
2022-06-18 10:30:00,28.5,0.0005,0.055
2022-06-18 10:40:00,28.7,0.0006666666666666666,0.057666666666666665
2022-06-18 10:50:00,28.900000000000002,0.0008333333333333333,0.060333333333333336
2022-06-18 11:00:00,29.1,0.001,0.063
2022-06-18 11:10:00,29.01666666666667,0.0008333333333333334,0.06383333333333334
2022-06-18 11:20:00,28.933333333333334,0.0006666666666666668,0.06466666666666666
2022-06-18 11:30:00,28.85,0.0005,0.0655
2022-06-18 11:40:00,28.76666666666667,0.0003333333333333334,0.06633333333333334
2022-06-18 11:50:00,28.683333333333334,0.00016666666666666674,0.06716666666666667
2022-06-18 12:00:00,28.6,0.0,0.068
2022-06-18 12:10:00,28.733333333333334,0.0,0.063
2022-06-18 12:20:00,28.866666666666667,0.0,0.058
2022-06-18 12:30:00,29.0,0.0,0.053000000000000005
2022-06-18 12:40:00,29.133333333333333,0.0,0.048
2022-06-18 12:50:00,29.266666666666666,0.0,0.043
2022-06-18 13:00:00,29.4,0.0,0.038
2022-06-18 13:10:00,29.5,0.001,0.042833333333333334
2022-06-18 13:20:00,29.599999999999998,0.002,0.04766666666666667
2022-06-18 13:30:00,29.7,0.003,0.052500000000000005
2022-06-18 13:40:00,29.8,0.004,0.05733333333333333
2022-06-18 13:50:00,29.9,0.005,0.062166666666666676
2022-06-18 14:00:00,30.0,0.006,0.067
2022-06-18 14:10:00,29.866666666666667,0.005,0.0665
