地域コード,都道府県,市区町村,幼稚園数,幼稚園在園者数,小学校数,小学校教員数,小学校児童数,中学校数,中学校教員数,中学校生徒数
R01100,北海道,札幌市,86,11879,201,5243,88100,106,3134,45821
R01202,北海道,函館市,11,854,40,717,9225,22,433,5370
R01203,北海道,小樽市,11,527,17,328,3684,13,220,2142
R01204,北海道,旭川市,26,1900,52,1220,13985,27,637,7531
R01205,北海道,室蘭市,8,671,9,224,2993,8,139,1595
R01206,北海道,釧路市,24,1523,25,582,6088,15,322,3334
R01207,北海道,帯広市,13,1493,25,598,7221,13,328,3765
R01208,北海道,北見市,7,487,22,476,4830,13,276,2646
R01209,北海道,夕張市,0,0,1,19,147,1,18,87
R01210,北海道,岩見沢市,5,535,14,284,3171,9,174,1756
R01211,北海道,網走市,2,146,9,167,1393,6,100,783
R01212,北海道,留萌市,2,133,5,91,678,2,42,365
R01213,北海道,苫小牧市,8,976,22,587,8315,14,351,4348
R01214,北海道,稚内市,4,203,11,152,1313,7,95,678
R01215,北海道,美唄市,2,93,2,48,573,2,33,344
R01216,北海道,芦別市,1,89,2,42,326,2,29,192
R01217,北海道,江別市,5,641,17,430,5821,9,271,3481
R01218,北海道,赤平市,1,21,1,31,249,1,19,142
R01219,北海道,紋別市,1,41,6,108,758,3,49,383
R01220,北海道,士別市,3,105,6,88,603,4,61,361
R01221,北海道,名寄市,3,265,7,131,1130,4,70,557
R01222,北海道,三笠市,0,0,2,33,247,2,28,138
R01223,北海道,根室市,2,157,6,108,833,4,67,418
R01224,北海道,千歳市,8,1067,18,379,5265,9,191,2668
R01225,北海道,滝川市,2,228,6,139,1497,3,79,850
R01226,北海道,砂川市,1,69,5,74,531,1,25,335
R01227,北海道,歌志内市,0,0,0,0,0,0,0,0
R01228,北海道,深川市,2,74,6,86,681,2,39,354
R01229,北海道,富良野市,4,284,7,113,807,4,56,471
R01230,北海道,登別市,4,424,8,155,1838,5,90,888
R01231,北海道,恵庭市,5,702,8,233,3608,5,140,1909
R01233,北海道,伊達市,2,205,6,122,1290,3,65,739
R01234,北海道,北広島市,6,514,9,192,2717,8,162,1758
R01235,北海道,石狩市,0,0,9,214,2860,6,134,1577
R01236,北海道,北斗市,4,302,11,190,2069,5,106,1200
R01303,北海道,当別町,0,0,1,18,215,1,15,137
R01304,北海道,新篠津村,0,0,1,14,129,1,14,55
R01331,北海道,松前町,0,0,3,26,137,1,15,76
R01332,北海道,福島町,1,10,2,17,96,1,13,41
R01333,北海道,知内町,0,0,2,21,131,1,17,88
R01334,北海道,木古内町,0,0,1,15,92,1,13,55
R01337,北海道,七飯町,1,193,4,89,1240,2,47,616
R01343,北海道,鹿部町,1,44,1,18,125,1,13,89
R01345,北海道,森町,2,57,8,64,516,2,37,296
R01346,北海道,八雲町,1,35,7,84,587,4,57,335
R01347,北海道,長万部町,0,0,1,18,163,1,14,97
R01361,北海道,江差町,0,0,3,44,209,2,32,122
R01362,北海道,上ノ国町,0,0,2,29,147,1,16,78
R01363,北海道,厚沢部町,0,0,3,32,148,1,15,75
R01364,北海道,乙部町,0,0,2,18,96,1,16,62
R01367,北海道,奥尻町,2,28,2,19,68,1,15,34
R01370,北海道,今金町,0,0,2,25,191,1,14,101
R01371,北海道,せたな町,0,0,3,37,210,3,41,144
R01391,北海道,島牧村,0,0,1,11,45,1,13,16
R01392,北海道,寿都町,0,0,2,22,111,1,11,60
R01393,北海道,黒松内町,0,0,2,26,123,2,19,76
R01394,北海道,蘭越町,1,24,2,28,189,1,16,98
R01395,北海道,ニセコ町,1,24,2,35,306,1,15,118
R01396,北海道,真狩村,0,0,1,11,88,1,14,45
R01397,北海道,留寿都村,0,0,1,12,82,1,13,52
R01398,北海道,喜茂別町,0,0,2,15,63,1,11,40
R01399,北海道,京極町,0,0,1,21,110,1,10,75
R01400,北海道,倶知安町,2,148,5,84,813,1,28,361
R01401,北海道,共和町,2,25,3,38,249,1,15,127
R01402,北海道,岩内町,2,78,2,40,437,2,31,249
R01403,北海道,泊村,0,0,1,9,47,1,15,36
R01404,北海道,神恵内村,0,0,1,8,21,1,12,17
R01405,北海道,積丹町,0,0,4,23,57,1,12,35
R01406,北海道,古平町,0,0,1,17,77,1,13,53
R01407,北海道,仁木町,0,0,2,24,125,2,30,92
R01408,北海道,余市町,3,212,4,65,659,3,44,364
R01409,北海道,赤井川村,0,0,2,18,51,1,12,35
R01423,北海道,南幌町,1,176,1,31,307,1,17,135
R01424,北海道,奈井江町,0,0,1,16,178,1,14,102
R01425,北海道,上砂川町,0,0,1,11,73,1,13,38
R01427,北海道,由仁町,0,0,1,23,189,1,14,86
R01428,北海道,長沼町,1,49,2,43,465,1,21,234
R01429,北海道,栗山町,0,0,3,48,432,1,23,241
R01430,北海道,月形町,0,0,1,17,69,1,13,51
R01431,北海道,浦臼町,0,0,1,13,65,1,13,36
R01432,北海道,新十津川町,1,151,1,27,320,1,17,159
R01433,北海道,妹背牛町,0,0,1,15,80,1,16,51
R01434,北海道,秩父別町,0,0,1,15,98,1,13,50
R01436,北海道,雨竜町,0,0,1,14,89,1,12,50
R01437,北海道,北竜町,0,0,1,14,62,1,12,34
R01438,北海道,沼田町,0,0,1,17,97,1,14,54
R01452,北海道,鷹栖町,0,0,2,40,301,1,21,170
R01453,北海道,東神楽町,1,92,3,66,654,1,30,329
R01454,北海道,当麻町,1,50,2,36,278,1,18,148
R01455,北海道,比布町,0,0,0,0,0,0,0,0
R01456,北海道,愛別町,0,0,1,18,95,1,14,42
R01457,北海道,上川町,2,21,1,17,95,1,16,55
R01458,北海道,東川町,1,35,4,68,501,1,24,239
R01459,北海道,美瑛町,0,0,6,82,388,2,39,235
R01460,北海道,上富良野町,0,0,3,64,457,1,25,245
R01461,北海道,中富良野町,0,0,4,45,201,1,19,132
R01462,北海道,南富良野町,0,0,2,27,114,1,14,36
R01463,北海道,占冠村,0,0,1,9,33,1,11,16
R01464,北海道,和寒町,0,0,1,16,113,1,14,76
R01465,北海道,剣淵町,0,0,1,16,96,1,14,57
R01468,北海道,下川町,0,0,1,17,113,1,14,74
R01469,北海道,美深町,0,0,2,25,129,2,21,89
R01470,北海道,音威子府村,1,9,1,4,9,1,7,10
R01471,北海道,中川町,0,0,1,12,61,1,12,29
R01472,北海道,幌加内町,0,0,2,16,39,1,14,30
R01481,北海道,増毛町,0,0,1,17,128,1,14,77
R01482,北海道,小平町,2,48,2,25,110,1,14,53
R01483,北海道,苫前町,0,0,2,25,108,1,16,63
R01484,北海道,羽幌町,1,14,3,33,234,3,30,150
R01485,北海道,初山別村,0,0,1,8,45,1,9,16
R01486,北海道,遠別町,0,0,1,16,97,1,14,48
R01487,北海道,天塩町,0,0,2,23,108,1,16,71
R01511,北海道,猿払村,0,0,4,37,148,1,12,74
R01512,北海道,浜頓別町,0,0,1,21,122,1,13,62
R01513,北海道,中頓別町,0,0,1,13,57,1,13,29
R01514,北海道,枝幸町,0,0,7,66,275,3,42,160
R01516,北海道,豊富町,0,0,2,27,157,2,21,87
R01517,北海道,礼文町,0,0,3,22,83,2,23,58
R01518,北海道,利尻町,0,0,2,16,65,1,17,38
R01519,北海道,利尻富士町,0,0,2,21,89,2,20,47
R01520,北海道,幌延町,0,0,2,24,108,2,18,55
R01543,北海道,美幌町,1,80,3,78,720,2,41,432
R01544,北海道,津別町,0,0,1,20,151,1,16,87
R01545,北海道,斜里町,0,0,2,51,489,1,19,242
R01546,北海道,清里町,1,28,1,22,195,1,18,99
R01547,北海道,小清水町,1,6,1,24,224,1,13,115
R01549,北海道,訓子府町,0,0,2,33,228,1,16,116
R01550,北海道,置戸町,0,0,1,18,115,1,13,62
R01552,北海道,佐呂間町,0,0,3,37,176,1,15,114
R01555,北海道,遠軽町,1,57,8,104,768,7,94,439
R01559,北海道,湧別町,0,0,4,37,160,1,18,67
R01560,北海道,滝上町,0,0,2,21,69,1,14,45
R01561,北海道,興部町,1,57,2,26,182,1,13,87
R01562,北海道,西興部村,0,0,1,14,30,1,14,21
